organisationunitid,uid,mflcode,facility,level,ward_uid,ward,subcounty_uid,subcounty,county_uid,county
89208146,rvxeDnU1DNZ,30604,Pentafocus ENT & skin clinic,5,oCDeWaZZImt,Karatina Town Ward,vznKK4IegIL,Mathira East Sub County,ptWVfaCIdVx,Nyeri County
89217887,BoipBEW7y5i,27908,Bestcare Hospital Ltd,5,Q1FhAEC0Ode,Emali/Mulala Ward,toa2Hl7iVQI,Kibwezi West Sub County,BoDytkJQ4Qi,Makueni County
89209218,PeCzgavrJ2K,30608,Little Sisters of St. Joseph Olesentu Mission Hospital,5,bFIJdjEp5Kl,Kilgoris Central Ward,Nb6e34jNGAq,Transmara West Sub County,kqJ83J2D72s,Narok County
89208149,PCRGnWBNNK9,30605,Devine trustymed medical clinic,5,oCDeWaZZImt,Karatina Town Ward,vznKK4IegIL,Mathira East Sub County,ptWVfaCIdVx,Nyeri County
91668774,pppqR7FHavS,32028,The Salwa Hospital Gynaecological Complex,5,moyjoMLymNA,Waberi Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
91671220,qshxO5bnRHt,32029,Smart Med Hub Limited,5,DnVTXbCnup5,Kileleshwa Ward,CcTr4bcVGAG,Dagoretti North Sub County,jkG3zaihdSs,Nairobi County
91675837,oVcwXXphQWD,32037,Kalesirua Dispensary,5,fBbEs297NMY,Imbrikani/Eselelnkei Ward,eyADpAXM834,Loitokitok Sub County,Hsk1YV8kHkT,Kajiado County
91651428,Sqe60idwDAC,31243,Health Quest Medicare Clinic,5,fB16JFnw8Ex,Kabaru Ward,YXt5ETQPRlB,Kieni East Sub County,ptWVfaCIdVx,Nyeri County
91653505,mpsBlbrHG5U,32024,Jommu Medicare Clinic Kiserian,5,ZwZ7vxnP9WF,Keekonyokie Ward,wYsCfCAUWNB,Kajiado West Sub County,Hsk1YV8kHkT,Kajiado County
91653545,mxVxNwXqPBI,32025,Greenwood Modern Medical Center,5,Zmv9YmuisYs,Umoja I Ward,aCwUX5V42Zz,Embakasi West Sub County,jkG3zaihdSs,Nairobi County
79033014,McXyF0sYU3v,26061,MSF Health Post 4 Dispensary,5,SEcXCK24G53,Dagahaley Ward,wYTqff68aVM,Dadaab Refugee Camp Sub County,uyOrcHZBpW0,Garissa County
78151053,CVE6tCrr2nr,25750,Ifo Health Post 7 Dispensary,5,y56zRR22kaj,Ifo Ward,wYTqff68aVM,Dadaab Refugee Camp Sub County,uyOrcHZBpW0,Garissa County
79032928,Eh5qgrqLD97,26060,Ifo Health Post N12 Dispensary,5,y56zRR22kaj,Ifo Ward,wYTqff68aVM,Dadaab Refugee Camp Sub County,uyOrcHZBpW0,Garissa County
88391592,PxK9sxhYWhI,29824,Faith Model Medical Centre,5,GC3CIljaAjo,Gesusu Ward,A6Sj8RumZ0m,Nyaribari Masaba Sub County,sPkRcDvhGWA,Kisii County
86735891,Lmw7ijQcfaK,28088,Alfombiu Medical Clinic,5,fBGAi2rHJgE,Borabu/Chitago Ward,WHG67QCDRS9,South Mugirango Sub County,sPkRcDvhGWA,Kisii County
89208152,MhbVNggSb6i,30606,Chepkurkur Dispensary,5,dnN8o6fbT5I,Chepyuk Ward,NZphHeczehh,Cheptais Sub County,KGHhQ5GLd4k,Bungoma County
91671228,LHaqU8x74mb,32030,Ushirika Elite Hospital Limited,5,DR0BSs3eYeC,Pangani Ward,nKHlZyN0lt9,Starehe Sub County,jkG3zaihdSs,Nairobi County
91699297,isCV5TebEnw,30818,Hopps Kliniks Clinic,5,dPxooReTfTv,Kokwanyo/Kakelo Ward,BzFBYZhF5fx,Rachuonyo East Sub County,nK0A12Q7MvS,Homa Bay County
91699946,mDfW2Cls29z,32040,Oltepesi Dispensary,5,fF2CijNSPDI,Mosiro Ward,gZM3NbHaugk,Narok East Sub County,kqJ83J2D72s,Narok County
89222494,nGzIV8CIc0Q,30519,Karurumo Dispensary,5,lJIdDl7HaCT,Kanyenya-ini Ward,U9CLTNIwehR,Kangema Sub County,ahwTMNAJvrL,Muranga County
91718642,EkRLBviTIkk,32041,Imbo Community Medical Centre,5,C5EivIShRVo,Homa Bay East Ward,Ur2xRBDtazT,Homa Bay Town Sub County,nK0A12Q7MvS,Homa Bay County
23839,gWOJcwZe4Jx,20308,Chamari Dispensary,5,Icchyn9Ob1j,Marafa Ward,KMWrMZrlO5u,Magarini Sub County,nrI2khZx3d0,Kilifi County
23849,V67GPYDqpev,11347,Surgery Clinic,5,u6oi5OySCnQ,Malindi Town Ward,lGg3wEy784X,Malindi Sub County,nrI2khZx3d0,Kilifi County
23835,OGia3FphS8p,11248,Baricho Dispensary,5,nResMsI1yRw,Garashi Ward,KMWrMZrlO5u,Magarini Sub County,nrI2khZx3d0,Kilifi County
69784,eLZiCdBXtEU,17809,Sopa Lodge Dispensary,5,KnKoadZgQjY,Wamba West Ward,ldZ10N9unC9,Samburu East Sub County,o36zCRjSd4G,Samburu County
91699916,Qar5YbPbjVz,32039,Zen Recovery and Treatment Centre,5,byxif4bfwvo,Township Ward,SBz4c48i24Y,Kiambu Town Sub County,qKzosKQPl6G,Kiambu County
7713794,E94SXvXP9TR,18679,Manyoeni Dispensary,5,qWZAzrzTN2v,Mutitu/Kaliku Ward,d0Gu8FrRM0Y,Kitui East Sub County,j8o6iO4Njsi,Kitui County
35492,VYnxIPQb6A1,15441,Ongatta Cottage Medical Clinic,5,RZsWJRZ4mIG,Ongata Rongai Ward,BLz1HkvvMkA,Kajiado North Sub County,Hsk1YV8kHkT,Kajiado County
44373,weNvWCatA2Y,15731,Todonyang Dispensary,5,yVMtm0p4OeM,Lakezone Ward,mWpq607yRXh,Turkana North Sub County,kphDeKClFch,Turkana County
91740037,ciCIumCFpFX,32042,Nabiswa Dispensary.,5,dqhHnPkEqDH,Mbakalo Ward,orUwYD52An3,Tongaren Sub County,KGHhQ5GLd4k,Bungoma County
32087,eogI9KAaTj9,14002,Othoro Level 4 Hospital (Rachuonyo),5,nYfCFgklbTM,Kabondo East Ward,BzFBYZhF5fx,Rachuonyo East Sub County,nK0A12Q7MvS,Homa Bay County
89222978,kkrCTj0jD23,25427,Oak Tree Centre For Kidney and Chronic Diseases Ltd,5,H9e1tEercdW,Kapsoya Ward,mYlMs4xTj82,Ainabkoi Sub County,pZqQRRW7PHP,Uasin Gishu County
91685433,rQfDWQ7H2pz,25122,Napitiro Dispensary,5,AXu2vRnnxOt,Kapchok Ward,wwDtq26ddp6,Kacheliba Sub County,XWALbfAPa6n,West Pokot County
5206182,Mvevx0bAZh0,21335,Kakuma Sub County Hospital,5,bg4tS3m8rZA,Kakuma Ward,HK5SUCMQmsw,Turkana West Sub County,kphDeKClFch,Turkana County
44785,T9Z9ITASXzK,15944,Kibuke Health Centre,5,gJUwKJIUKEc,West Bukusu Ward,jkQZEow83MX,Bumula Sub County,KGHhQ5GLd4k,Bungoma County
89228018,hOf0krAdWtZ,28415,Kodopa Container Dispensary,5,vpERRHtFCWg,Turkwel Ward,OZiGQn2R8kK,Loima Sub County,kphDeKClFch,Turkana County
23858,SqO6tJoEOCP,11384,Garashi Dispensary,5,nResMsI1yRw,Garashi Ward,KMWrMZrlO5u,Magarini Sub County,nrI2khZx3d0,Kilifi County
10284001,BvVwFPBn206,21481,Muanda  Health Centre,5,kMwgldKtwou,South Bukusu Ward,jkQZEow83MX,Bumula Sub County,KGHhQ5GLd4k,Bungoma County
5206093,haWXQNd01Nx,20840,Kabulokor Dispensary,5,z3pqrBr5TyV,Kotaruk/Lobei Ward,OZiGQn2R8kK,Loima Sub County,kphDeKClFch,Turkana County
89232852,CgVlrTLq6Ib,30610,Delight Dental Limited-Kisumu,5,wTeTHBlXnQj,Market Milimani Ward,OpLt8IgyHop,Kisumu Central Sub County,tAbBVBbueqD,Kisumu County
89240116,hncafamthm2,30066,Chashleedah Annex Medical Center,5,s7u7anGLs0p,Magombo Ward,f3AcdRzgTwz,Manga Sub County,uepLTG8wGWJ,Nyamira County
89263346,w0B56Sc0nEH,30614,Obonyo Rehabilitation Hospital Ltd,5,xiP5RKdvPTn,South Kasipul Ward,NhsAMiaS0TD,Rachuonyo South Sub County,nK0A12Q7MvS,Homa Bay County
89204770,I69zzNT6fxZ,30600,Bumala Uzima Clinic,5,Fh0N1GDepVx,Mayenje Ward,tvkI2HSIRW9,Matayos Sub County,Tvf1zgVZ0K4,Busia County
89244240,KMouyngeWzv,30611,Al-Qudus Diagnostic Hospital,5,moyjoMLymNA,Waberi Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
89250741,QamNqKmFJOa,30613,Ponca Health Limited,5,Lc6GluslY9h,Kahawa/Sukari Ward,TPRNJqSm4lK,Ruiru Sub County,qKzosKQPl6G,Kiambu County
89254730,NOzW65GpmkC,30517,St Monicah Dispensary Mwengenye,5,aZGmpSZ2M0H,Njiru Ward,FoqzDgIByL6,Kasarani Sub County,jkG3zaihdSs,Nairobi County
89260697,xbzMbiywAsP,23211,Garissa Doctors Plaza Limited,5,sxXb2Lcz396,Iftin Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
23788,WV1wPEDH6et,17021,Menengai Health Care Services,5,QfHPo7H918V,Shimo La Tewa Ward,xWAZBULwGxp,Kilifi South Sub County,nrI2khZx3d0,Kilifi County
88948071,UOjdQIHMgCA,30379,Appex Family Hospital,5,ceveVgwvcc7,Mautuma Ward,ZOdhgR19Akq,Lugari Sub County,BjC1xL40gHo,Kakamega County
22810,U1NOVTWLPgk,16287,Garissa Teachers Training College Dispensary,5,moyjoMLymNA,Waberi Ward,lQkHbTC1iRg,Garissa Sub County,uyOrcHZBpW0,Garissa County
268146,UDzeFplMQrT,19311,Ishtar Dice MSM,5,oYFOeehTMK2,Landimawe Ward,nKHlZyN0lt9,Starehe Sub County,jkG3zaihdSs,Nairobi County
44403,MfGxBsHfRmE,14700,Kapelibok Dispensary,5,AR58QjsFekn,Kaputir Ward,FKt9UVErwh3,Aroo Sub County,kphDeKClFch,Turkana County
44404,lM6jXczT5kj,14796,Kaputir Dispensary,5,AR58QjsFekn,Kaputir Ward,FKt9UVErwh3,Aroo Sub County,kphDeKClFch,Turkana County
44409,FkFZjLaxAwJ,17196,Lokaburu Dispensary,5,Dg2JnSl7lk7,Lokichar Ward,iTw0sFjlqZ2,Turkana South Sub County,kphDeKClFch,Turkana County
44410,oVqB8Da8cdy,15056,Lokapel Dispensary,5,XtEn1yMSsKf,Katilu Ward,FKt9UVErwh3,Aroo Sub County,kphDeKClFch,Turkana County
44411,aKjGXxIWmX3,15057,Lokichar (RCEA) Health Centre,5,Dg2JnSl7lk7,Lokichar Ward,iTw0sFjlqZ2,Turkana South Sub County,kphDeKClFch,Turkana County
265824,QAsALhw98vK,20726,Bodo Medical Clinic,5,VGENlt3MTt7,Ramisi Ward,ADMywdLwoRX,Msambweni Sub County,N7YETT3A9r1,Kwale County
267409,z5apOSpEyGI,18835,AIC Biribiriet Dispensary,5,s38X4K1qhST,Makutano Ward,f18kGo9yXWo,Cherangany Sub County,mThvosEflAU,Trans Nzoia County
267463,zcph0HqwRAr,18575,Kenya Assemblies of God Medical Clinic (KAG Naivasha),5,xbHueeSJ4j8,Lake View Ward,yZJJPoSGhY6,Naivasha Sub County,ob6SxuRcqU4,Nakuru County
34596,QsbKIv43xwM,10630,Kirima Dispensary,5,W9GVYGq6UqK,Shamata Ward,EESGLsSLTqH,Ndaragwa Sub County,mYZacFNIB3h,Nyandarua County
44819,MniJ99qrhJ6,15958,Korosiandet Health Centre,5,nNiOxPPdyhk,Lwandanyi Ward,whWfFA9D7td,Sirisia Sub County,KGHhQ5GLd4k,Bungoma County
34871,CZxlonoRruj,10296,Good Samaritan (ACK) Medical Clinic,5,At5MPktCh4M,Rware Ward,GXnD5lHeanK,Nyeri Central Sub County,ptWVfaCIdVx,Nyeri County
22857,rdDj0xud8Bp,16289,Baraki Dispensary,5,phpfjGEVjg8,Baraki Ward,J69iWev2zwu,Lagdera Sub County,uyOrcHZBpW0,Garissa County
87447114,D5NpbIkKmGo,28927,Airport View Diagnostic Medical Care,5,oflRkUjvrdd,Port Reitz Ward,OvI6w06DhPJ,Changamwe Sub County,wsBsC6gjHvn,Mombasa County
