hierarchylevel,community_unit_uid,community_code,community_unit,link_facility_name,link_facility_uid,link_facility_code,ward,ward_code,subcounty,subcounty_code,county,county_code,country
6,miRAfdfsLEH,600838,Kapngetuny Community Health Unit,Kapngetuny Dispensary,Kx3K770Y8cZ,14744,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,SKc4Ed9ULQL,,Kipsinende Community Health Unit,Cheptigit Dispensary,g7WpUZ9X0Fk,17830,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,XJH8yl3wea5,,Ndanai Community  Health Unit,Ainabkoi (RCEA) Health Centre,yvHLTdpzuNc,16350,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,UVGHegaBwHw,712183,Ndanai Community Health Unit,Ainabkoi (RCEA) Health Centre,yvHLTdpzuNc,16350,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,ljQNAVF9ZkM,,Tilol Community Health Unit,Baharini Dispensary,Lk8YAcMHCqH,21238,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,Lwl3zpFdIpJ,702603,Kapsoya Community Health Unit,Kapsoya Health Centre,WmVkqxdy4xB,14769,Kapsoya Ward,KE_Ward_719,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,Xjr1f6ynznb,602405,Chepkongony Community Health Unit,Katuiyo Dispensary,GoeSol38aEH,14819,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,OdFFEmxc9Fw,600831,Chepkero Community Health Unit,Chepkero Dispensary,ZkaUsGnIX5o,14340,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,SMDz0OhAL6d,702607,Kongasis Community Health Unit,Mary Immaculate Dispensary (Eldoret East),YNrTtyW64AI,15147,Kaptagat Ward,KE_Ward_720,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,CtuTNurMtJp,,Olare Community Health Unit,Burnt Forest Sub County Hospital,g73LYiD5P06,16347,Ainabkoi/Olare Ward,KE_Ward_721,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,NZzQLPkfvAt,702622,Kogilgei Community Health Unit,Cheboin Dispensary,LiIgcPkUwTB,20060,Kapsoya Ward,KE_Ward_719,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,assqODNK5W9,,St.Marys Kapsoya Community Health Unit,St Mary's Kapsoya Dispensary,uTKCtfaYGm3,15655,Kapsoya Ward,KE_Ward_719,Ainabkoi Sub County,KE_SubCounty_3229,Uasin Gishu County,KE_County_27,Kenya
6,iMkXEcehprE,712879,Taiywet Community Health Unit,Kericho GK Prisons Medium Dispensary,g7xqdKIgNEW,18616,Kapkugerwet Ward,KE_Ward_946,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,UZ7tzHhsAo8,705149,Chepsoo Community Health Unit,Chepsoo Dispensary,OHFvSYCfXAu,17310,Kapsoit Ward,KE_Ward_944,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,SRbbiB6QUT4,701292,Kenegut Community Health Unit,Kenegut Dispensary,OQfegQt03Jy,14826,Kapsoit Ward,KE_Ward_944,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,J9uqFZK9IF3,705153,Merto Community Health Unit,Merto Dispensary,UNWE8sXbjqD,15179,Ainamoi Ward,KE_Ward_945,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,ZJMX3pfuyT8,705159,Maso Community Health Unit,Maso dispensary,PUhIayQHdF6,21092,Kapsaos Ward,KE_Ward_712,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,AKWwMFlyke7,705173,Kimeswon Community Health Unit,Kipchimchim M Hospital,qB5zH8R3pV6,14890,Kipchimchim Ward,KE_Ward_948,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,E0n0eBJzHNZ,712877,Buchenge Community Health Unit,Buchenge Dispensary,gaWE49ZEO47,14271,Kapsaos Ward,KE_Ward_712,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,EnKLrnyzLzz,712878,Township Community Health Unit,GK Prisons Dispensary (Kericho),zPB3UE70MQi,14521,Kapkugerwet Ward,KE_Ward_946,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,V5hY2JyIsnd,705151,Samutet Community Health Unit,Samutet Dispensary,iUgleV5bLiR,17143,Kapsoit Ward,KE_Ward_944,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,HgCIfyJ4Ppr,705156,Chepkoiyo Community Health Unit,Chepkoiyo Dispensary,u58RG88LAR9,18188,Ainamoi Ward,KE_Ward_945,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,X7PiUn6oZR7,701291,Matobo Community Health Unit,GK Prisons Dispensary (Kericho),zPB3UE70MQi,14521,Kapkugerwet Ward,KE_Ward_946,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,IthCtDFmcvQ,705162,Kapsaos Community Health Unit,Kapsaos Dispensary (Kericho),pNKoyYaDsPV,21094,Kapsaos Ward,KE_Ward_712,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,tOMe3Xn9g6i,705163,Manyoror Community Health Unit,Manyoror Dispensary,j0VmAofVrzi,15121,Kapsaos Ward,KE_Ward_712,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,m8IH43khW4P,705147,Ketitui Community Health Unit,Ketitui Dispensary,nNinROt25aJ,17210,Kapsoit Ward,KE_Ward_944,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,lVSHH5sixfv,712880,Kapsoit Community Health Unit,Ketitui Dispensary,nNinROt25aJ,17210,Kapsoit Ward,KE_Ward_944,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,G5aqGd39E20,705157,Chesanga Community Health Unit,Chesanga Dispensary,xgwRS9ihlJ0,21091,Kipchebor Ward,KE_Ward_947,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,EcfL60f4YWu,703443,Kapkiam,Kapkiam Dispensary,Hcnbov5yOnL,14715,Kapsaos Ward,KE_Ward_712,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,HCWrarwHG1O,703442,Laliat,Laliat Dispensary,bCwhdwGCvJe,15005,Ainamoi Ward,KE_Ward_945,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,luM5y86v64m,711287,Ainamoi Community Health Unit,Ainamoi Health Centre,Q4h7yLoLe0G,14192,Ainamoi Ward,KE_Ward_945,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,z5zNrK3Xu9N,705174,Sirimdo Community Health Unit,Kapcheptoror Dispensary,Soy2IoMfV8v,21093,Kipchimchim Ward,KE_Ward_948,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,vcc56aWwPBn,705169,Municipal Community Health Unit,Kericho Municipal Health Centre,qZjlHkd3PY9,14833,Kapkugerwet Ward,KE_Ward_946,Ainamoi Sub County,KE_SubCounty_3026,Kericho County,KE_County_35,Kenya
6,Vpnq7CMkZiJ,,Kapkerer Community Unit (duplicate),Kipsigak Baibai Dispensary,lAqmyxyrn2i,14914,Terik Ward,KE_Ward_756,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,zA3pvzRfKK9,601096,Kaboi Community Health Unit,Kaboi Dispensary,jzQPk6CszMu,17023,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,whaYMx8zfWq,,Chebilat Community Unit,Chebilat Dispensary(Nandi South),pC90awhA0Xv,17131,Kobujoi Ward,KE_Ward_758,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,xcJy49ptd6f,601098,Koyo Community Health Unit,Koyo Health Centre,wBYoNpWpcY2,14997,Koyo/Ndurio Ward,KE_Ward_760,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,tNW8EaTLqOy,,Kapkerer Community Unit (duplicate),Kipsigak Baibai Dispensary,lAqmyxyrn2i,14914,Terik Ward,KE_Ward_756,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,PkzoTOZ9hhT,711997,Kapsaos Community Unit,Kapsaos Dispensary,Mr5ai8GXGEj,14752,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,LohSWMsgJkm,710009,Mosombor Community Unit,Kaptumo Sub-County Hospital,u1GwmEW9bNo,14792,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,UXqFfwp4cqy,,Bonjoge Community Unit,Bonjoge Dispensary,AlnAYV73kvt,17481,Kabwareng Ward,KE_Ward_755,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,iho4zSR0wNE,,Olemila (Cbo),Kaptumo Sub-County Hospital,u1GwmEW9bNo,14792,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,N2jqe9ZPesM,710003,Kapsamoch Community Unit,Kapsamoch Dispensary,wEpSe11za5V,14751,Terik Ward,KE_Ward_756,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,QIw110O4DiI,710016,Kapkerer Community Unit,Kipsigak Baibai Dispensary,lAqmyxyrn2i,14914,Terik Ward,KE_Ward_756,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,XlS80Lka8zn,,Kaptumo Community unit,Kaptumo Sub-County Hospital,u1GwmEW9bNo,14792,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,ZxmJwaWFz8t,,Kemeloi Community Unit,Kemeloi Health Centre,zAs4m0LzAxE,14825,Kemeloi-maraba Ward,KE_Ward_757,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,nexlW542fpq,710001,Kongoro Community Unit,Kongoro Dispensary,CXoCYJCLdeI,14987,Kemeloi-maraba Ward,KE_Ward_757,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,Ex3CeYIgqAT,710005,Siksik Community Health Unit,Siksik Dispensary,QoFUwrcomTG,19368,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,QTLuvkxJYMG,710006,Chepkongony Community Unit,Chepkongony Dispensary,ctw6aPMdFQ4,14345,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,kdTVvB9FRPe,710012,Koibarak Community Unit,koibarak Dispensary,OD6rR7pC5d8,20650,Kabwareng Ward,KE_Ward_755,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,WNSBNZH04pS,710018,Kapsengere Community Unit,Kapsengere Dispensary,Rt3EHoIgc83,14756,Terik Ward,KE_Ward_756,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,JCCeBpCoihW,711998,kemeloi community Unit,Kemeloi Health Centre,zAs4m0LzAxE,14825,Kemeloi-maraba Ward,KE_Ward_757,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,nzbFtaTv5iM,710008,Kesogon Community Unit,Kobujoi Mission Health Centre,HRO9wJXbEjN,14960,Kobujoi Ward,KE_Ward_758,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,LjyJqODkAIS,601094,Chepkongony Community Health Unit,Chepkongony Dispensary,ctw6aPMdFQ4,14345,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,htFqkyuulVv,601097,Kobujoi Forest Community Health Unit,Kobujoi Forest Dispensary,mRyzf0z5qM9,17125,Kobujoi Ward,KE_Ward_758,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,tf9KpuGz956,601095,Cheptingwich Community Health Unit,Cheptingwich Dispensary,duTlabyMqge,17024,Kabwareng Ward,KE_Ward_755,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,xWdZK6GXkD6,601099,Serem Community  Unit,Serem Health Centre (Aldai),mcSGhLvIobz,15545,Kemeloi-maraba Ward,KE_Ward_757,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,lfQnlaO7DLf,710007,Toretmoi Community Unit,Toretmoi Dispensary,Ig4nN4ZgawG,17022,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,HrzWxV6Vmjg,,Kapsengere Community Unit (Duplicate),Kapsengere Dispensary,Rt3EHoIgc83,14756,Terik Ward,KE_Ward_756,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,VK8t9pgpj5f,710000,Kaptume Community Unit,Kaptumek Dispensary,ACkoQinXR25,14789,Kemeloi-maraba Ward,KE_Ward_757,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,jGHuB0UXymb,710019,Kibwareng community unit,Kibwareng Health Centre,MKRHQqll4ly,14857,Kobujoi Ward,KE_Ward_758,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,vpFDGoGETv8,710013,Kapkeben Community Unit,Kapkeben Dispensary,Xax5FUtTypT,14707,Kabwareng Ward,KE_Ward_755,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,Pq6AIYuUFFf,710011,Kapkolei Community Unit,Kapkolei Dispensary,gB9AQwjIc9N,14724,Koyo/Ndurio Ward,KE_Ward_760,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,LR8ElPgb5xQ,710010,Ndurio Community Unit,Kapkolei Dispensary,gB9AQwjIc9N,14724,Koyo/Ndurio Ward,KE_Ward_760,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,CoarYrpHfgr,752906,Kipkegenda (Mobile),Kaptumo Sub-County Hospital,u1GwmEW9bNo,14792,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,WFLgIzfzUCx,,Mobile Clinics,Kaptumo Sub-County Hospital,u1GwmEW9bNo,14792,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,wpCtXHchuIz,710002,Chemobo Community Unit,Chemobo Community Dispensary,jYzi6wEvy1w,20150,Terik Ward,KE_Ward_756,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,uR5VQRufif0,,Siksik Community Unit (Duplicate),Siksik Dispensary,QoFUwrcomTG,19368,Kaptumo/Kaboi Ward,KE_Ward_759,Aldai Sub County,KE_SubCounty_3171,Nandi County,KE_County_29,Kenya
6,rScn0GYDRAo,600430,Kochieng A Community Health Unit,Boro Dispensary,xHviPII2Tc3,13513,Central Alego Ward,KE_Ward_1165,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,cowRq7UCXkU,602300,Obambo Community Health Unit,Kadenge Ratuoro Health Centre,iAuQRWVoRpK,13641,Central Alego Ward,KE_Ward_1165,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,nkRprJ0bqU8,600442,Nyalgunga Community Health Unit,Ober Ogunga Dispensary,nwPM0BNbnnK,22081,North Alego Ward,KE_Ward_1167,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,q78IW2ZbU7N,602312,Bar Agulu Community Health Unit,Bar Agulu Dispensary,gFFdF6hGiFe,13496,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,QSDTuj4WXD4,707428,Karapul B,Siaya County Referral Beyond Zero Mobile Clinic,JdG77mrMlNl,21021,Siaya Township Ward,KE_Ward_1166,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,NVtRUE7PKwa,602964,maloba community health,Uradi Health Centre,ER9BOdawZcT,17183,West Alego Ward,KE_Ward_1164,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,d2koBqEs2iv,707039,Koyeyo A,Karuoth Dispensary,Pa9tT2RsExD,17533,Central Alego Ward,KE_Ward_1165,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,myRUVmIc3HX,600440,Nyadorera B Community Health Unit,Rwambwa Sub-county Hospital,bXn7IY2ZYMz,14063,Usonga Ward,KE_Ward_1163,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,KrbEQEJ7oPp,602290,Randago Community Health Unit,Randago Dispensary,tKxiY0VjNrr,17521,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,wxW0qJL4UOD,,Ojuando B Community Unit,Segere Dispensary,EwpG2Q4y05m,16790,Central Alego Ward,KE_Ward_1165,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,iCOhiIB2X4v,600428,Kaugagi Hawinga Community Health Unit,Hawinga Health Centre,GrfDMFELnO0,13600,West Alego Ward,KE_Ward_1164,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,ayIUV8DmdpM,602387,Mur Ng'Iya Community Health Unit,Got Koyembe Dispensary,QPZ9f0CtO2r,21792,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,KdXDq83ssR8,600438,Mulaha A Community Health Unit,Mulaha Dispensary,swdibQaVyEC,13834,Siaya Township Ward,KE_Ward_1166,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,EV4OT65ry5s,600434,Komenya Kowala Community Health Unit,Rabar Health Centre,bejbJuEmJLP,14018,West Alego Ward,KE_Ward_1164,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,rVlBlXnddMU,602369,Kogelo Community Health Unit,Kogelo Dispensary,XZwiXe6lGnE,13710,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,kGdftluoNtD,600436,Mahola Ulawe Community Health Unit,Mwer Dispensary,R9fTJQSUjAc,16788,West Alego Ward,KE_Ward_1164,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,qeRnN6UbDab,602366,Kadenge Ratuoro Community Health Unit,Kadenge Ratuoro Health Centre,iAuQRWVoRpK,13641,Central Alego Ward,KE_Ward_1165,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,LOLRHgFZQYb,600433,Komenya Kalaka Community Health Unit,Rabar Health Centre,bejbJuEmJLP,14018,West Alego Ward,KE_Ward_1164,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,gHaMl0dgysY,707035,Nyandiwa B Community Health Unit,Mulaha Dispensary,swdibQaVyEC,13834,Siaya Township Ward,KE_Ward_1166,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,jUvqLn0B8hP,600427,Karapul A Community Health Unit,Siaya County Referral Hospital,b3yukBxVi1J,14080,Siaya Township Ward,KE_Ward_1166,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,o1LmURm3G8L,600424,Hono A Community Health Unit,Kaluo Health Centre,SaC88wqvxMt,13648,North Alego Ward,KE_Ward_1167,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,jijeHVtxAyQ,707037,Mulaha B Community Health Unit,Mulaha Dispensary,swdibQaVyEC,13834,Siaya Township Ward,KE_Ward_1166,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,ZfiSBENCoT0,602309,Ulafu Community Health Unit,Ulafu Dispensary,TsA9YJvSsDV,20507,North Alego Ward,KE_Ward_1167,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,naGy9zIELeT,602310,Nyadhi Community Health Unit,Nyadhi Dispensary,nKDcsLqOt81,17535,Central Alego Ward,KE_Ward_1165,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,uYLCuw2Yjnv,602295,Mur Malanga Community Health Unit,Mur Malanga Dispensary,Tf9HS4ZXH3Z,17523,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,LISGdbEAZ90,600422,Bar Olengo Community Health Unit,Bar Olengo Dispensary,sK3DDy5tVCy,13499,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,dyIeJOWr39m,600432,Kodiere Community Health Unit,Mwer Dispensary,R9fTJQSUjAc,16788,West Alego Ward,KE_Ward_1164,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,XONRygPeWeg,600435,Komolo Community Health Unit,Kaluo Health Centre,SaC88wqvxMt,13648,North Alego Ward,KE_Ward_1167,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,Syv3zlroRGw,602299,Olwa Community Health Unit,Nyathengo Dispensary,JndRLlEOlBD,13944,North Alego Ward,KE_Ward_1167,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,yWKg2Gs9xZk,,Nyadhiwa Community Unit,Mulaha Dispensary,swdibQaVyEC,13834,Siaya Township Ward,KE_Ward_1166,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,ufzWWHZDSfC,707029,Hono B Community Health Unit,Kaluo Health Centre,SaC88wqvxMt,13648,North Alego Ward,KE_Ward_1167,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,ixFNCesvVCy,600441,Nyajuok Community Health Unit,Ting'wangi Health Centre,kuzvgtX2kyS,14148,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,pgYLe4QyEVa,600448,Sumba Community Health Unit,Sumba Community Dispensary,r7hNHZYd4pj,14133,Usonga Ward,KE_Ward_1163,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,Q9j6WrRfbxf,707724,Karapul D Community Health Unit,Siaya County Referral Hospital,b3yukBxVi1J,14080,Siaya Township Ward,KE_Ward_1166,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,OW06u6HZDFb,600421,Bar Osimbo Community Health Unit,Randago Dispensary,tKxiY0VjNrr,17521,South East Alego Ward,KE_Ward_1168,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,DroU9iE0WNx,600439,Nyadorera A Community Health Unit,Benga Dispensary,YjzBFHmaVTv,16786,Usonga Ward,KE_Ward_1163,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
6,IJrxkP15QxW,,Kalkada Uradi Community Unit,Rabar Health Centre,bejbJuEmJLP,14018,West Alego Ward,KE_Ward_1164,Alego Usonga Sub County,KE_SubCounty_3203,Siaya County,KE_County_41,Kenya
